1,Tomato,0.6,95,Vegetable,0.25
002,Apple,0.3,100,Fruit,0.5
003,Chicken Breast,2.5,20,Meat,0.2
4,Eggplant,0.8,-4,Vegetable,0.4
005,Beef,3.5,15,Meat,0.1
006,Banana,0.4,90,Fruit,0.4
007,Cucumber,0.3,60,Vegetable,0.3
008,Pork Chops,2.0,25,Meat,0.1
009,Potato,0.2,80,Vegetable,0.5
010,Orange,0.5,80,Fruit,0.3
011,Salmon,4.5,10,Seafood,0.2
012,Onion,0.2,70,Vegetable,0.4
013,Strawberry,0.2,120,Fruit,0.6
014,Pineapple,1.0,30,Fruit,0.4
015,Cabbage,0.7,50,Vegetable,0.3
016,Beef Jerky,1.5,40,Snack,0.2
017,Peach,0.4,70,Fruit,0.4
018,Spinach,0.3,80,Vegetable,0.5
019,Shrimp,3.0,15,Seafood,0.3
020,Apple Juice,1.0,40,Drink,0.2
021,Broccoli,0.6,60,Vegetable,0.3
022,Grapes,0.4,100,Fruit,0.4
023,Beef Burger,2.5,30,Fast Food,0.2
024,Cauliflower,0.7,50,Vegetable,0.4
025,Watermelon,3.0,20,Fruit,0.3
026,Tuna,3.5,15,Seafood,0.1
027,Carrot Juice,1.2,30,Drink,0.2
028,Corn,0.4,70,Vegetable,0.3
029,Mango,0.7,60,Fruit,0.5
030,Salami,1.5,40,Meat,0.2
031,Asparagus,0.5,70,Vegetable,0.4
032,Blueberries,0.3,120,Fruit,0.6
033,Fish Fillet,2.0,25,Seafood,0.2
034,Orange Juice,0.8,50,Drink,0.3
035,Pepper,0.3,60,Vegetable,0.4
